actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
"$318,412,101",$140 million,"$392,017,400",Action / Adventure,Iron Man,PG-13,"May 2, 2008",2 hrs. 6 min.
"$352,390,543",$195 million,"$391,266,300",Sci-Fi Action,Transformers: Dark of the Moon,PG-13,"June 29, 2011",2 hrs. 34 min.
"$279,261,160",$80 million,"$390,489,500",Comedy,Meet the Fockers,PG-13,"December 22, 2004",1 hrs. 54 min.
"$317,101,119",$185 million,"$390,414,200",Period Adventure,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,"May 22, 2008",2 hrs. 0 min.
"$191,796,233",N/A,"$387,796,000",Animation,Toy Story,G,"November 22, 1995",1 hrs. 21 min.
"$184,208,848",$22 million,"$386,301,800",Western,Dances with Wolves,PG-13,"November 9, 1990",3 hrs. 3 min.
"$129,795,554",N/A,"$385,926,600",Romance,An Officer and a Gentleman,R,"July 30, 1982",2 hrs. 2 min.
"$56,954,992",$12 million,"$382,720,500",Sci-Fi Adventure,2001: A Space Odyssey,G,"April 3, 1968",2 hrs. 19 min.
"$172,825,435",$25 million,"$382,698,600",Drama,Rain Man,R,"December 16, 1988",2 hrs. 13 min.
"$368,384,330",$75 million,"$382,540,500",Animation,The Secret Life of Pets,PG,"July 8, 2016",1 hrs. 30 min.
"$56,666,667",$4 million,"$382,391,900",Drama,Guess Who's Coming to Dinner,Unrated,"December 11, 1967",1 hrs. 48 min.
"$356,461,711",$175 million,"$381,769,500",Animation,Inside Out,PG,"June 19, 2015",1 hrs. 34 min.
"$350,126,372",$58.8 million,"$380,827,200",Drama,American Sniper,R,"December 25, 2014",2 hrs. 12 min.
"$106,260,000",N/A,"$380,298,900",Drama,Kramer Vs. Kramer,PG,"December 19, 1979",1 hrs. 45 min.
"$201,578,182",$140 million,"$379,946,900",Sci-Fi Action,Armageddon,PG-13,"July 1, 1998",2 hrs. 24 min.
"$383,383,494",$200 million,"$383,383,500",Action / Adventure,Guardians of the Galaxy Vol. 2,PG-13,"May 5, 2017",2 hrs. 17 min.
"$32,000,000","$806,947","$377,173,400",Horror Thriller,Psycho,M,"June 16, 1960",1 hrs. 49 min.
"$125,049,125",N/A,"$373,285,200",Sports Drama,Rocky III,PG,"May 28, 1982",1 hrs. 39 min.
"$292,004,738",$150 million,"$375,192,100",Fantasy,Harry Potter and the Order of the Phoenix,PG-13,"July 11, 2007",2 hrs. 19 min.
"$150,415,432",N/A,"$374,555,600",Action,Rambo: First Blood Part II,R,"May 22, 1985",1 hrs. 34 min.
"$184,031,112",$100 million,"$373,985,100",Action / Adventure,Batman Forever,PG-13,"June 16, 1995",2 hrs. 2 min.
"$363,070,709",$58 million,"$373,869,900",Action,Deadpool,R,"February 12, 2016",1 hrs. 46 min.
"$178,406,268",$14 million,"$372,839,600",Romantic Comedy,Pretty Woman,R,"March 23, 1990",1 hrs. 59 min.
"$79,666,653",$7 million,"$372,620,700",Action Thriller,Earthquake,PG,"November 15, 1974",2 hrs. 3 min.
"$334,191,110",$200 million,"$371,603,700",Family Adventure,Alice in Wonderland,PG,"March 5, 2010",1 hrs. 49 min.
"$261,441,092",$92 million,"$371,544,800",Animation,The Incredibles,PG,"November 5, 2004",1 hrs. 55 min.
"$233,632,142",$90 million,"$370,344,600",Drama,Cast Away,PG-13,"December 22, 2000",2 hrs. 23 min.
"$173,585,516",N/A,"$369,950,400",Family Comedy,Home Alone 2: Lost in New York,PG,"November 20, 1992",2 hrs. 0 min.
"$364,001,123",$175 million,"$368,722,900",Adventure,The Jungle Book,PG,"April 15, 2016",1 hrs. 45 min.
"$167,780,960",$11 million,"$368,661,400",Comedy,Three Men and a Baby,PG,"November 25, 1987",1 hrs. 42 min.
"$241,438,208",$5 million,"$366,148,200",Romantic Comedy,My Big Fat Greek Wedding,PG,"April 19, 2002",1 hrs. 35 min.
"$333,176,600",$170 million,"$364,009,700",Action / Adventure,Guardians of the Galaxy,PG-13,"August 1, 2014",2 hrs. 1 min.
"$353,007,020",$190 million,"$362,650,300",Action,Furious 7,PG-13,"April 3, 2015",2 hrs. 17 min.
"$180,981,856",$80 million,"$361,963,700",Action,Mission: Impossible,PG-13,"May 22, 1996",1 hrs. 50 min.
"$337,135,885",$125 million,"$360,025,800",Action / Adventure,The Hunger Games: Mockingjay - Part 1,PG-13,"November 21, 2014",2 hrs. 3 min.
"$336,045,770",$74 million,"$359,913,900",Animation,Minions,PG,"July 10, 2015",1 hrs. 31 min.
"$94,213,184",N/A,"$358,945,900",Music Drama,Saturday Night Fever,R,"December 16, 1977",1 hrs. 58 min.
"$119,285,432",N/A,"$358,765,500",Drama,On Golden Pond,PG,"December 4, 1981",1 hrs. 49 min.
"$206,040,086",$33 million,"$358,542,200",Comedy,Austin Powers: The Spy Who Shagged Me,PG-13,"June 11, 1999",1 hrs. 35 min.
"$301,959,197",$250 million,"$357,764,700",Fantasy,Harry Potter and the Half-Blood Prince,PG,"July 15, 2009",2 hrs. 33 min.
"$242,829,261",$81 million,"$355,988,500",Fantasy Comedy,Bruce Almighty,PG-13,"May 23, 2003",1 hrs. 41 min.
"$249,541,069",$130 million,"$355,224,300",Fantasy,Harry Potter and the Prisoner of Azkaban,PG,"June 4, 2004",2 hrs. 22 min.
"$52,223,306",N/A,"$353,600,000",Musical,Funny Girl,G,"September 18, 1968",2 hrs. 31 min.
"$215,409,889",$125 million,"$353,288,200",Action,Mission: Impossible II,PG-13,"May 24, 2000",2 hrs. 3 min.
"$226,164,286",$90 million,"$353,231,800",Action Comedy,Rush Hour 2,PG-13,"August 3, 2001",1 hrs. 30 min.
"$173,837,933",N/A,"$349,680,500",Action Thriller,Apollo 13,PG,"June 30, 1995",2 hrs. 20 min.
"$61,749,765",$12 million,"$352,172,900",War,Patton,PG,"February 4, 1970",2 hrs. 50 min.
"$156,645,693",N/A,"$350,777,800",Thriller,Fatal Attraction,R,"September 18, 1987",2 hrs. 3 min.
"$341,268,248",N/A,"$350,117,900",Animation,Zootopia,PG,"March 4, 2016",1 hrs. 48 min.
"$181,410,615",N/A,"$349,383,400",Fantasy Comedy,Liar Liar,PG-13,"March 21, 1997",1 hrs. 26 min.
"$165,493,908",$48 million,"$347,497,900",Period Adventure,Robin Hood: Prince of Thieves,PG-13,"June 14, 1991",2 hrs. 23 min.
"$153,665,036",N/A,"$347,416,600",Action Comedy,Beverly Hills Cop II,R,"May 20, 1987",1 hrs. 43 min.
"$312,433,331",$200 million,"$347,410,100",Action / Adventure,Iron Man 2,PG-13,"May 7, 2010",2 hrs. 5 min.
"$293,004,164",$175 million,"$347,180,200",Animation,Up,PG,"May 29, 2009",1 hrs. 36 min.
"$162,831,698",$80 million,"$346,851,100",Action / Adventure,Batman Returns,PG-13,"June 19, 1992",2 hrs. 6 min.
"$227,966,634",$72 million,"$346,825,400",Sci-Fi Horror,Signs,PG-13,"August 2, 2002",1 hrs. 47 min.
"$108,185,706",$54 million,"$344,015,000",Action / Adventure,Superman II,PG,"June 19, 1981",2 hrs. 8 min.
"$296,623,634",$50 million,"$343,965,100",Romance,The Twilight Saga: New Moon,PG-13,"November 20, 2009",2 hrs. 10 min.
"$66,000,000",N/A,"$343,200,000",Comedy,"What's Up, Doc?",G,"March 9, 1972",1 hrs. 34 min.
"$103,290,500",N/A,"$339,437,900",Comedy,9 to 5,PG,"December 19, 1980",1 hrs. 50 min.
"$330,360,194",$250 million,"$338,224,000",Action / Adventure,Batman v Superman: Dawn of Justice,PG-13,"March 25, 2016",2 hrs. 31 min.
"$158,348,367",N/A,"$338,115,800",Thriller,The Firm,R,"July 2, 1993",2 hrs. 34 min.
"$325,100,054",$175 million,"$337,503,000",Action / Adventure,Suicide Squad,PG-13,"August 5, 2016",2 hrs. 10 min.
"$156,452,370",$70 million,"$336,505,800",Fantasy Comedy,Who Framed Roger Rabbit,PG,"June 24, 1988",1 hrs. 43 min.
"$304,360,277",$200 million,"$334,523,300",Action,Skyfall,PG-13,"November 9, 2012",2 hrs. 23 min.
